source,target,producer_overlap,same_branch,historical_share_corr,lag1_directed_corr,combined_strength,combined_signed
7585,16210,0.04566227091745816,1.0,0.32819863401888383,-0.012137057661928874,0.32129072566439426,0.048074405013597436
16210,7585,0.04566227091745816,1.0,0.32819863401888383,-0.07833402021063104,0.32129072566439426,0.060351751192101934
7583А,26231,0.49427989606350825,0.0,0.24167260057844905,0.21567860981233955,0.31964172820528886,0.060613545253578864
26231,7583А,0.49427989606350825,0.0,0.24167260057844905,0.0978092865154879,0.31964172820528886,0.07714825856931674
15150,16228,0.0,1.0,-0.38585688251524153,0.06850473239266917,0.31575706475457244,-0.052993415138632885
16228,15150,0.0,1.0,-0.38585688251524153,0.5009499951934472,0.31575706475457244,-0.041990307095080164
7620,7965,0.0,1.0,0.3788188982910234,0.6538763564515915,0.313645669487307,0.04585924184739431
7965,7620,0.0,1.0,0.3788188982910234,-0.04547430177395543,0.313645669487307,0.0577283638375446
16192,26231,0.17801366525131124,0.0,-0.7407168775027897,0.006206513340260273,0.3112218958764925,-0.07754598501071441
26231,16192,0.17801366525131124,0.0,-0.7407168775027897,-0.3674953602124681,0.3112218958764925,-0.07511606019127805
26256,7516Д,0.08342604675623778,0.0,-0.8812216012216993,-0.3435859529451661,0.30607950374462867,-0.0441055418855898
7516Д,26256,0.08342604675623778,0.0,-0.8812216012216993,-0.3093882569426066,0.30607950374462867,-0.06199755117186589
16197,16259,0.0,1.0,-0.3450443652913567,-0.12901383019614726,0.303513309587407,-0.05987719081783453
16259,16197,0.0,1.0,-0.3450443652913567,-0.33372310321642945,0.303513309587407,-0.10862716880589558
26220,26256,0.0,1.0,0.3449437571347473,-0.033170995476007194,0.3034831271404242,0.04573327629441854
26256,26220,0.0,1.0,0.3449437571347473,-0.025857540036121455,0.3034831271404242,0.04373140838214865
15150Д,26310,0.0,1.0,0.3370429214616714,-0.26398058184012796,0.30111287643850143,0.04746683047688916
26310,15150Д,0.0,1.0,0.3370429214616714,-0.08364274816010211,0.30111287643850143,0.04667172404046245
26293,7620,0.0,0.0,0.9953037973562315,0.49713504397327773,0.29859113920686947,0.04983712073442325
7620,26293,0.0,0.0,0.9953037973562315,0.3308376821921504,0.29859113920686947,0.04365806576816442
26310,7965,0.0,1.0,-0.31909766465891626,-0.2522830695273017,0.2957292993976749,-0.04583728339822926
7965,26310,0.0,1.0,-0.31909766465891626,-0.29794704851860304,0.2957292993976749,-0.054430748624578175
26183,16210,0.0,1.0,0.3171889772559048,0.014088773047608402,0.29515669317677146,0.04684976609161893
16210,26183,0.0,1.0,0.3171889772559048,-0.342402352896448,0.29515669317677146,0.055442693754861036
