КНС,Период,Нагн. скваж.,Закачка м3/мес базовый прогноз,Закачка м3/мес прогноз,Доля базовый прогноз,Доля прогноз,Руст базовый прогноз,Руст прогноз,Суммарная закачка прогноз,Закачка м3/мес факт,Руст факт
97,06.2026,2161,4094.716388934999,3759.1288525543246,0.08983652984459704,0.08983652984459704,39.24938596199689,39.24938596199689,41844.101269906816,2472.51,49.0
97,06.2026,2162,2195.107979141315,2015.2051949582105,0.04815983935129928,0.048159839351299284,36.50771360632969,36.50771360632969,41844.101269906816,1939.553,34.0
97,06.2026,2163,2855.7727983674085,2621.7244133664817,0.0626545757657832,0.0626545757657832,44.61167802606873,44.61167802606873,41844.101269906816,3176.117,42.0
97,06.2026,2165,1441.891348409159,1323.719363006504,0.03163455117528091,0.031634551175280905,57.57143896633157,57.57143896633157,41844.101269906816,1041.415,53.0
97,06.2026,2166,1465.2190415648163,1345.1352062727026,0.032146351945670504,0.032146351945670504,61.3029148538941,61.3029148538941,41844.101269906816,1443.297,49.0
97,06.2026,2167,3713.9841560822774,3409.5999998402194,0.08148340856569702,0.08148340856569704,51.891069255739694,51.891069255739694,41844.101269906816,4170.485,61.0
97,06.2026,2697,2034.3605286467898,1867.6320002037678,0.044633101047074436,0.044633101047074464,43.06690157699682,43.06690157699682,41844.101269906816,1714.105,71.0
97,06.2026,4394,2040.2598849627675,1873.0478674904039,0.04476253069479714,0.04476253069479714,47.975436555119906,47.975436555119906,41844.101269906816,2852.864,55.0
97,06.2026,4397,1114.8650223834597,1023.4948832281178,0.024459717192305632,0.024459717192305636,28.073116004158315,28.073116004158315,41844.101269906816,363.962,73.0
97,06.2026,4398,1624.014209645631,1490.9161203286483,0.03563025791166593,0.03563025791166594,59.60069278096188,59.60069278096188,41844.101269906816,1378.221,60.0
97,06.2026,49,3218.4427407966273,2954.671292965752,0.07061141722001023,0.07061141722001027,42.55493427379138,42.55493427379138,41844.101269906816,10658.417,23.0
97,06.2026,820,97.53925863770587,89.54530828864694,0.002139974466438006,0.002139974466438011,60.66922681222814,60.66922681222814,41844.101269906816,,
97,06.2026,951,547.6763577454672,502.7908657669748,0.012015812277191123,0.012015812277191118,67.92621257938289,67.92621257938289,41844.101269906816,357.165,74.0
97,07.2026,2015,983.5537240902331,941.5056724241479,0.022430644345762238,0.022430644345762245,55.68031916345275,55.68031916345275,41974.08054405819,863.809,58.0
97,07.2026,2017,898.2287923282518,859.828479521019,0.02048474840606688,0.020484748406066882,58.45282647130088,58.45282647130088,41974.08054405819,259.833,59.0
97,07.2026,2017А,1395.0506837243113,1335.4106642832724,0.031815126072423566,0.031815126072423566,58.728742397034914,58.728742397034914,41974.08054405819,3401.213,59.0
97,07.2026,2019,838.6825028361135,802.827862314759,0.01912675279383592,0.019126752793835924,48.19049741360224,48.19049741360224,41974.08054405819,23.921,72.0
97,07.2026,2026,656.3443225030182,628.2848486711479,0.014968400511159904,0.014968400511159911,56.68062949115655,56.68062949115655,41974.08054405819,955.272,60.0
97,07.2026,2031,0.0,0.0,0.0,0.0,70.16850729937804,70.16850729937804,41974.08054405819,,
97,07.2026,2033,1152.0277554848572,1102.777245424313,0.026272814821203295,0.026272814821203295,67.9099764666896,67.9099764666896,41974.08054405819,2112.322,75.0
97,07.2026,2064,4194.552330976413,4015.230399892133,0.09565975830435493,0.09565975830435493,31.16368101742585,31.16368101742585,41974.08054405819,4529.807,35.0
97,07.2026,2072,1781.9803135137186,1705.798607872901,0.04063933231562763,0.04063933231562763,42.29089479219898,42.29089479219898,41974.08054405819,3607.997,46.0
97,07.2026,2074,1875.7255970979108,1795.536172884073,0.04277726038571313,0.04277726038571314,54.87211011389085,54.87211011389085,41974.08054405819,1170.724,26.0
97,07.2026,2077,0.0,0.0,0.0,0.0,58.865518070433275,58.865518070433275,41974.08054405819,10.087,60.0
97,07.2026,2079,1384.7453918647461,1325.5459354899958,0.03158010653976408,0.03158010653976407,48.00738802348888,48.00738802348888,41974.08054405819,5162.562,16.0
97,07.2026,2146,3107.8513821174324,2974.987165059372,0.07087676791244228,0.0708767679124423,48.684630254099886,48.684630254099886,41974.08054405819,2024.09,27.0
97,07.2026,2161,3772.6786373788345,3611.392291367816,0.08603862775688703,0.08603862775688702,38.318825416135,38.318825416135,41974.08054405819,,
97,07.2026,2162,2290.9249360554977,2192.985263097127,0.05224617751412696,0.052246177514126954,36.44608794367369,36.44608794367369,41974.08054405819,1915.127,40.0
97,07.2026,2163,2896.9048659845,2773.0588548382125,0.06606598212264508,0.06606598212264507,44.70821697039242,44.70821697039242,41974.08054405819,6271.296,40.0
97,07.2026,2165,1372.353207577172,1313.6835313175466,0.03129749393649339,0.03129749393649339,59.67554881145638,59.67554881145638,41974.08054405819,3428.445,46.0
97,07.2026,2166,1416.6370051144613,1356.074145634427,0.03230741753142205,0.03230741753142206,60.95516475763919,60.95516475763919,41974.08054405819,1590.045,30.0
97,07.2026,2167,3660.7769922608527,3504.274570137463,0.083486630909263,0.08348663090926299,51.990959873043444,51.990959873043444,41974.08054405819,1903.2,18.0
97,07.2026,2697,1927.2508296274057,1844.8586425278784,0.0439523300716836,0.0439523300716836,42.07544901900033,42.07544901900033,41974.08054405819,1186.225,68.0
97,07.2026,4394,1837.0489687442728,1758.5130148264145,0.041895212284175885,0.04189521228417588,47.17297460586469,47.17297460586469,41974.08054405819,3621.973,40.0
